accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE300310,Human Endogenous Retroviruses Drive Type-I Interferon Signaling activation in Early Rheumatoid Arthritis,"Substantial reactivation of HERVs was observed in both synovial tissues and PBMCs from early RA patients. Differentially expressed HERVs regulate adjacent ISGs expression by providing cis-regulatory elements. Moreover, excessive cytoplasmic HERVs trigger a type I interferon (IFN-I) response through the dsRNA-RIG-I-IRF3-IFN-I axis. Targeting endogenous retroviruses exhibited potential therapeutic benefits in both CIA mouse models and RA patient-derived ex vivo models. Specifically, the IFN-I inducible HERV.MLT2B2, a novel primate-specific retroelement, acts as a key driver of the antiviral gene IFI44L, establishing a positive feedback loop that amplifies IFN-I signaling.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=6; control=6; other/unclear=6; total=18,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC,yes,yes,yes,yes,2026/06/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300310,2026-06-12,auto-collected from GEO metadata
GSE324400,Expression profile characteristics and clinical significance of plasma extracellular RNA(exRNA) in patients with rheumatoid arthritis,Plasma from rheumatoid arthritis(RA) patients and healthy controls underwent Heber sequencing to profile exRNA in RA and assess their association with disease activity.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34633,,RA=6; control=6; total=12,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324400,2026-06-12,auto-collected from GEO metadata
GSE83147,RNA expression profiles in fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients,LncRNA and mRNA microarrays were performed to identify differentially expressed lncRNAs and mRNAs in fibroblast-like synoviocytes from rheumatoid arthritis patients compared with fibroblast-like synoviocytes from trauma patients.,Homo sapiens,expression array,Expression profiling by array,GPL16956,,RA=3; control=3; total=6,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,no,yes,yes,2016/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83147,2026-06-12,auto-collected from GEO metadata
GSE97779,Expression data from rheumatoid arthritis synovial macrophages,Macrophages from RA synovial fluids were compared to primary human monocyte-derived macrophages.,Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=9; control=5; total=14,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; macrophage; monocyte,yes,no,yes,yes,2017/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97779,2026-06-12,auto-collected from GEO metadata
GSE100786,Expression data of bone marrow and blood monocytes from patients with rheumatoid arthritis (RA) and osteoarthritis (OA),"Rheumatoid arthritis (RA) accompanies infiltration and activation of monocytes in inflamed joints. In this study we investigated dominant alterations of RA monocytes in bone marrow (BM), blood and inflamed joints. CD14+ cells from BM and blood of RA and osteoarthritis (OA) patients were profiled with Affymetrix HG U133 Plus 2.0 Arrays. Detailed functional analysis was performed with reference transcriptomes of BM precursors, monocyte blood subsets, monocyte activation and mobilization. Cytometric profiling determined monocyte subsets of CD14++CD16-, CD14++CD16+ and CD14+CD16+ cells in BM, blood and synovial fluid (SF) and ELISAs quantified the release of activation markers into SF and serum. Investigation of genes differentially expressed between RA and OA monocytes by co-expression analysis with reference transcriptomes revealed gene patterns of early myeloid precursors in RA-BM and late myeloid precursors along with reduced terminal differentiation to CD14+CD16+ monocytes in RA blood. Patterns associated with TNF/LPS stimulation were weak and more pronounced in RA blood than BM. Cytometric phenotyping of cells in BM and blood disclosed differences related to monocyte subsets and confirmed the reduced frequency of terminally differentiated CD14+CD16+ monocytes in RA blood, as suggested by transcriptome data. Monocyte activation in SF was characterized by the predominance of CD14++CD16++CD163+HLA-DR+ cells and elevated concentrations of sCD14, sCD163 and S100P. Accelerated monocytopoiesis, BM egress and migration into inflamed joints characterise increased monocyte turnover in RA. Predominant activation in the joint suggests local and primary stimulants, which may promote also adaptive immune triggering through monocytes, thus indicating their importance for diagnostic and therapeutic strategies.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=14; control=0; other/unclear=14; total=28,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,yes,2017/07/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100786,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE153015,Comparison of gene expression profiles in paired synovial biopsies from rheumatoid arthritis (RA) patients,"We explored transcriptomic profiles of paired synovial biopsies from RA patients, in order to assess heterogeneity in synovial tissue at the individual level. Pairwise comparison of transcriptomic profiles showed similar expression of RA-related molecular pathways (TCR signaling, T cell co-stimulation and response to TNF⍺), thereby showing that global molecular alterations in RA synovitis are similar between small and large joints from the same patient.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=24; control=0; total=24,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; T cell,yes,yes,yes,yes,2020/11/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153015,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE172188,Rheumatoid arthritis synovium response to abatacept,"Our goal was to assess for the histological and transcriptomic effects of Abatacept on RA synovia, and to compare them with previously published data from four other DMARDs: Tocilizumab, Rituximab, Methotrexate and Adalimumab.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=20; control=0; total=20,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,yes,2021/08/23,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172188,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE176440,Gene expression profiles of CD4+ T cells before and after methotrexate treatment in rheumatoid arthritis patients [Microarray],"To understand the molecular mechanisms by which methotraxate improves the disease activity in rheumatoid arthritis, CD4+ T cells were obtained before and 3month after methotrexate treatment.",Homo sapiens,expression array,Expression profiling by array,GPL6480,,RA=56; control=0; total=56,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell,no,yes,yes,yes,2022/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176440,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE181313,Transcriptional effects of LXR on the differentiation of monocyte-derived macrophages by tumor ascitic fluids or rheumatoid arthritis synovial fluids,"Analysis of the role of LXR on the transcriptional signature of monocyte-derived macrophages generated in the presence of tumor ascitic fluids or rheumatoid arthritis synovial fluids. Methods: Human Peripheral Blood Mononuclear Cells (PBMC) were isolated from buffy coats from donors over a Lymphoprep gradient according to standard procedures. Monocytes were purified from PBMC by magnetic cell sorting using anti-CD14 microbeads (>95% CD14+ cells). Monocytes from independent donors (0.5 x 106 cells/ml, >95% CD14+ cells) were treated with DMSO (vehicle), 1 micromolar GW3965 or 1 micromolar GSK2033 for 1 hour, and then cultured in RPMI 1640 10% FBS supplemented with either 50% Tumor-derived Ascitic Fluid (TAF) or 20% Synovial Fluid from patients with active Rheumatoid Arthritis (RASF), at 37°C in a humidified atmosphere with 5% CO2 and 21% O2. After 72 hours, cells were lysed and RNA isolated for transcriptional analysis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,,RA=20; control=0; total=20,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,no,yes,yes,yes,2022/03/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181313,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE181614,RNA Sequencing facilitates quantitative analysis of lncRNA and mRNA expression in fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients [microarray],"Fibroblast-like synoviocytes (FLS), the active resident cell component in synovial intimal lining, play a critical role in aggressive action of synovial pannus tissue. The underlying mechanism of FLSs in the progression of RA is still unknown. To evaluate the expression pattern of lncRNA and mRNA, we preformed microarray to determine its expression profiles in FLS separated from RA patients and trauma patients.",Homo sapiens,expression array,Expression profiling by array,GPL16956,,RA=5; control=5; total=10,high,85,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,no,no,yes,2021/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181614,2026-06-12,auto-collected from GEO metadata
GSE198520,Synovial inflammatory pathways characterize anti-TNF-responsive rheumatoid arthritis patients,"Objectives: This study was undertaken to understand the mechanistic basis of response to anti-TNF therapies and determine if transcriptomic changes in the synovium are reflected in peripheral protein markers. Methods: Synovial tissue from 46 RA patients was profiled with RNA sequencing before and 12 weeks after treatment with anti-TNF therapies. Pathway and gene signature analyses were performed on RNA expression profiles of synovial biopsies to identify mechanisms that could discriminate among EULAR good, moderate and non-responders. Serum proteins encoded by synovial genes differentially expressed between EULAR response groups were measured in the same patients. Results: The gene signatures were able to predict good responder patients and pathway analysis identified elevations in immune pathways including chemokine signaling, Th1 and Th2 cell differentiation, and Toll-like receptor signaling uniquely in good responders. These inflammatory pathways were correspondingly down-modulated by anti-TNF therapy only in good responders. Based on cell signature analysis, lymphocyte, myeloid and fibroblast cell populations were elevated in good responders relative to non-responders, consistent with the increased inflammatory pathways. Cell signatures which decreased following anti-TNF treatment were predominately associated with lymphocytes and fewer were associated with myeloid and fibroblast populations. Following anti-TNF treatment and only in good responders, several peripheral inflammatory proteins decreased consistent with corresponding synovial gene changes. Conclusions: Collectively, these data suggest that RA patients with robust responses to anti-TNF therapies are characterized at baseline by immune pathway activation, which decreases following anti-TNF treatment. Understanding mechanisms that define patient responsiveness to anti-TNF may assist in development of predictive markers of patient response and earlier treatment options.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,,RA=92; control=0; total=92,medium,85,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; T cell,no,yes,yes,yes,2022/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198520,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
